Epoch [35/150], Train Loss: 0.1919, Val Loss: 0.7148, Val Accuracy: 0.8558, Mean IOU: 0.7875, Precision: 0.8781, Recall: 0.8558, F1 Score: 0.8512
Epoch [36/150], Train Loss: 0.1866, Val Loss: 0.7441, Val Accuracy: 0.8568, Mean IOU: 0.7876, Precision: 0.8765, Recall: 0.8568, F1 Score: 0.8507
Epoch [37/150], Train Loss: 0.1846, Val Loss: 0.7435, Val Accuracy: 0.8574, Mean IOU: 0.7898, Precision: 0.8794, Recall: 0.8574, F1 Score: 0.8531
Epoch [38/150], Train Loss: 0.1835, Val Loss: 0.7619, Val Accuracy: 0.8542, Mean IOU: 0.7872, Precision: 0.8801, Recall: 0.8542, F1 Score: 0.8510
Epoch [39/150], Train Loss: 0.1844, Val Loss: 0.7715, Val Accuracy: 0.8560, Mean IOU: 0.7890, Precision: 0.8792, Recall: 0.8560, F1 Score: 0.8527
Epoch [40/150], Train Loss: 0.1790, Val Loss: 0.7578, Val Accuracy: 0.8556, Mean IOU: 0.7874, Precision: 0.8782, Recall: 0.8556, F1 Score: 0.8514
Epoch [41/150], Train Loss: 0.1797, Val Loss: 0.7846, Val Accuracy: 0.8534, Mean IOU: 0.7858, Precision: 0.8780, Recall: 0.8534, F1 Score: 0.8500
Epoch [42/150], Train Loss: 0.1765, Val Loss: 0.7907, Val Accuracy: 0.8465, Mean IOU: 0.7796, Precision: 0.8750, Recall: 0.8465, F1 Score: 0.8446
Epoch [43/150], Train Loss: 0.1765, Val Loss: 0.7879, Val Accuracy: 0.8539, Mean IOU: 0.7862, Precision: 0.8790, Recall: 0.8539, F1 Score: 0.8500
Epoch [44/150], Train Loss: 0.1733, Val Loss: 0.8059, Val Accuracy: 0.8522, Mean IOU: 0.7851, Precision: 0.8786, Recall: 0.8522, F1 Score: 0.8496
Epoch [45/150], Train Loss: 0.1772, Val Loss: 0.7959, Val Accuracy: 0.8560, Mean IOU: 0.7877, Precision: 0.8785, Recall: 0.8560, F1 Score: 0.8515
Epoch [46/150], Train Loss: 0.1702, Val Loss: 0.8074, Val Accuracy: 0.8571, Mean IOU: 0.7899, Precision: 0.8792, Recall: 0.8571, F1 Score: 0.8531
Epoch [47/150], Train Loss: 0.1788, Val Loss: 0.9734, Val Accuracy: 0.7904, Mean IOU: 0.7206, Precision: 0.8639, Recall: 0.7904, F1 Score: 0.7989
Epoch [48/150], Train Loss: 0.1724, Val Loss: 0.7785, Val Accuracy: 0.8586, Mean IOU: 0.7904, Precision: 0.8785, Recall: 0.8586, F1 Score: 0.8532
Epoch [49/150], Train Loss: 0.1657, Val Loss: 0.8136, Val Accuracy: 0.8557, Mean IOU: 0.7880, Precision: 0.8780, Recall: 0.8557, F1 Score: 0.8517
Epoch [50/150], Train Loss: 0.1705, Val Loss: 0.8186, Val Accuracy: 0.8582, Mean IOU: 0.7902, Precision: 0.8784, Recall: 0.8582, F1 Score: 0.8526
Epoch [51/150], Train Loss: 0.1665, Val Loss: 0.8206, Val Accuracy: 0.8574, Mean IOU: 0.7895, Precision: 0.8778, Recall: 0.8574, F1 Score: 0.8525
Epoch [52/150], Train Loss: 0.1659, Val Loss: 0.8293, Val Accuracy: 0.8589, Mean IOU: 0.7906, Precision: 0.8784, Recall: 0.8589, F1 Score: 0.8533
Epoch [53/150], Train Loss: 0.1674, Val Loss: 0.8131, Val Accuracy: 0.8530, Mean IOU: 0.7854, Precision: 0.8786, Recall: 0.8530, F1 Score: 0.8497
Epoch [54/150], Train Loss: 0.1668, Val Loss: 0.8232, Val Accuracy: 0.8547, Mean IOU: 0.7874, Precision: 0.8792, Recall: 0.8547, F1 Score: 0.8511
Epoch [55/150], Train Loss: 0.1635, Val Loss: 0.8457, Val Accuracy: 0.8560, Mean IOU: 0.7880, Precision: 0.8773, Recall: 0.8560, F1 Score: 0.8517
Epoch [56/150], Train Loss: 0.1635, Val Loss: 0.8385, Val Accuracy: 0.8575, Mean IOU: 0.7897, Precision: 0.8784, Recall: 0.8575, F1 Score: 0.8529
Epoch [57/150], Train Loss: 0.1668, Val Loss: 0.8005, Val Accuracy: 0.8573, Mean IOU: 0.7899, Precision: 0.8788, Recall: 0.8573, F1 Score: 0.8531
Epoch [58/150], Train Loss: 0.1679, Val Loss: 0.8124, Val Accuracy: 0.8572, Mean IOU: 0.7895, Precision: 0.8781, Recall: 0.8572, F1 Score: 0.8527
Epoch [59/150], Train Loss: 0.1591, Val Loss: 0.8408, Val Accuracy: 0.8590, Mean IOU: 0.7911, Precision: 0.8787, Recall: 0.8590, F1 Score: 0.8536
Epoch [60/150], Train Loss: 0.1576, Val Loss: 0.8590, Val Accuracy: 0.8576, Mean IOU: 0.7895, Precision: 0.8783, Recall: 0.8576, F1 Score: 0.8525
Epoch [61/150], Train Loss: 0.1595, Val Loss: 0.8636, Val Accuracy: 0.8574, Mean IOU: 0.7896, Precision: 0.8781, Recall: 0.8574, F1 Score: 0.8524
Epoch [62/150], Train Loss: 0.1588, Val Loss: 0.8529, Val Accuracy: 0.8578, Mean IOU: 0.7897, Precision: 0.8776, Recall: 0.8578, F1 Score: 0.8525
Epoch [63/150], Train Loss: 0.1577, Val Loss: 0.8626, Val Accuracy: 0.8556, Mean IOU: 0.7881, Precision: 0.8786, Recall: 0.8556, F1 Score: 0.8514
Epoch [64/150], Train Loss: 0.1594, Val Loss: 0.8594, Val Accuracy: 0.8576, Mean IOU: 0.7901, Precision: 0.8789, Recall: 0.8576, F1 Score: 0.8533
Epoch [65/150], Train Loss: 0.1548, Val Loss: 0.8665, Val Accuracy: 0.8570, Mean IOU: 0.7890, Precision: 0.8773, Recall: 0.8570, F1 Score: 0.8524
Epoch [66/150], Train Loss: 0.1558, Val Loss: 0.8664, Val Accuracy: 0.8586, Mean IOU: 0.7913, Precision: 0.8784, Recall: 0.8586, F1 Score: 0.8541
Epoch [67/150], Train Loss: 0.1549, Val Loss: 0.8804, Val Accuracy: 0.8579, Mean IOU: 0.7899, Precision: 0.8779, Recall: 0.8579, F1 Score: 0.8528
Epoch [68/150], Train Loss: 0.1535, Val Loss: 0.8900, Val Accuracy: 0.8573, Mean IOU: 0.7892, Precision: 0.8781, Recall: 0.8573, F1 Score: 0.8525
Epoch [69/150], Train Loss: 0.1538, Val Loss: 1.3010, Val Accuracy: 0.7750, Mean IOU: 0.7098, Precision: 0.8631, Recall: 0.7750, F1 Score: 0.7930
Epoch [70/150], Train Loss: 0.1602, Val Loss: 0.8875, Val Accuracy: 0.8585, Mean IOU: 0.7907, Precision: 0.8786, Recall: 0.8585, F1 Score: 0.8533
Epoch [71/150], Train Loss: 0.1500, Val Loss: 0.9118, Val Accuracy: 0.8570, Mean IOU: 0.7891, Precision: 0.8780, Recall: 0.8570, F1 Score: 0.8524
Epoch [72/150], Train Loss: 0.1516, Val Loss: 0.9054, Val Accuracy: 0.8565, Mean IOU: 0.7887, Precision: 0.8780, Recall: 0.8565, F1 Score: 0.8521
Epoch [73/150], Train Loss: 0.1514, Val Loss: 0.9062, Val Accuracy: 0.8556, Mean IOU: 0.7883, Precision: 0.8784, Recall: 0.8556, F1 Score: 0.8520
Epoch [74/150], Train Loss: 0.1507, Val Loss: 0.9031, Val Accuracy: 0.8584, Mean IOU: 0.7909, Precision: 0.8780, Recall: 0.8584, F1 Score: 0.8538
Epoch [75/150], Train Loss: 0.1508, Val Loss: 0.9255, Val Accuracy: 0.8570, Mean IOU: 0.7897, Precision: 0.8786, Recall: 0.8570, F1 Score: 0.8531
Epoch [76/150], Train Loss: 0.1498, Val Loss: 0.9107, Val Accuracy: 0.8585, Mean IOU: 0.7910, Precision: 0.8782, Recall: 0.8585, F1 Score: 0.8539
Epoch [77/150], Train Loss: 0.1495, Val Loss: 0.9237, Val Accuracy: 0.8585, Mean IOU: 0.7911, Precision: 0.8786, Recall: 0.8585, F1 Score: 0.8539
Epoch [78/150], Train Loss: 0.1515, Val Loss: 0.9175, Val Accuracy: 0.8578, Mean IOU: 0.7905, Precision: 0.8785, Recall: 0.8578, F1 Score: 0.8533
Epoch [79/150], Train Loss: 0.1477, Val Loss: 0.9277, Val Accuracy: 0.8585, Mean IOU: 0.7904, Precision: 0.8784, Recall: 0.8585, F1 Score: 0.8535
Epoch [80/150], Train Loss: 0.1476, Val Loss: 0.9590, Val Accuracy: 0.8571, Mean IOU: 0.7899, Precision: 0.8783, Recall: 0.8571, F1 Score: 0.8531
Epoch [81/150], Train Loss: 0.1475, Val Loss: 0.9505, Val Accuracy: 0.8567, Mean IOU: 0.7892, Precision: 0.8782, Recall: 0.8567, F1 Score: 0.8523
Epoch [82/150], Train Loss: 0.1472, Val Loss: 0.9520, Val Accuracy: 0.8575, Mean IOU: 0.7902, Precision: 0.8778, Recall: 0.8575, F1 Score: 0.8533
Epoch [83/150], Train Loss: 0.1464, Val Loss: 0.9366, Val Accuracy: 0.8580, Mean IOU: 0.7905, Precision: 0.8782, Recall: 0.8580, F1 Score: 0.8534
Epoch [84/150], Train Loss: 0.1460, Val Loss: 0.9488, Val Accuracy: 0.8573, Mean IOU: 0.7895, Precision: 0.8778, Recall: 0.8573, F1 Score: 0.8526
Epoch [85/150], Train Loss: 0.1484, Val Loss: 0.9572, Val Accuracy: 0.8539, Mean IOU: 0.7867, Precision: 0.8781, Recall: 0.8539, F1 Score: 0.8508
Epoch [86/150], Train Loss: 0.1446, Val Loss: 0.9484, Val Accuracy: 0.8566, Mean IOU: 0.7887, Precision: 0.8774, Recall: 0.8566, F1 Score: 0.8521
Epoch [87/150], Train Loss: 0.1531, Val Loss: 1.0323, Val Accuracy: 0.8411, Mean IOU: 0.7703, Precision: 0.8715, Recall: 0.8411, F1 Score: 0.8398
Epoch [88/150], Train Loss: 0.1468, Val Loss: 0.9460, Val Accuracy: 0.8578, Mean IOU: 0.7902, Precision: 0.8780, Recall: 0.8578, F1 Score: 0.8534
Epoch [89/150], Train Loss: 0.1428, Val Loss: 0.9708, Val Accuracy: 0.8571, Mean IOU: 0.7902, Precision: 0.8784, Recall: 0.8571, F1 Score: 0.8536
Epoch [90/150], Train Loss: 0.1441, Val Loss: 0.9743, Val Accuracy: 0.8570, Mean IOU: 0.7898, Precision: 0.8781, Recall: 0.8570, F1 Score: 0.8529
Epoch [91/150], Train Loss: 0.1480, Val Loss: 0.9512, Val Accuracy: 0.8570, Mean IOU: 0.7898, Precision: 0.8782, Recall: 0.8570, F1 Score: 0.8529
Epoch [92/150], Train Loss: 0.1426, Val Loss: 0.9750, Val Accuracy: 0.8567, Mean IOU: 0.7890, Precision: 0.8776, Recall: 0.8567, F1 Score: 0.8523
Epoch [93/150], Train Loss: 0.1459, Val Loss: 0.9512, Val Accuracy: 0.8540, Mean IOU: 0.7867, Precision: 0.8779, Recall: 0.8540, F1 Score: 0.8508
Epoch [94/150], Train Loss: 0.1429, Val Loss: 0.9560, Val Accuracy: 0.8502, Mean IOU: 0.7840, Precision: 0.8796, Recall: 0.8502, F1 Score: 0.8498
Epoch [95/150], Train Loss: 0.1414, Val Loss: 0.9992, Val Accuracy: 0.8579, Mean IOU: 0.7903, Precision: 0.8777, Recall: 0.8579, F1 Score: 0.8531
Epoch [96/150], Train Loss: 0.1447, Val Loss: 0.9726, Val Accuracy: 0.8573, Mean IOU: 0.7898, Precision: 0.8777, Recall: 0.8573, F1 Score: 0.8531
Epoch [97/150], Train Loss: 0.1416, Val Loss: 0.9984, Val Accuracy: 0.8581, Mean IOU: 0.7906, Precision: 0.8778, Recall: 0.8581, F1 Score: 0.8532
Epoch [98/150], Train Loss: 0.1451, Val Loss: 0.9953, Val Accuracy: 0.8558, Mean IOU: 0.7888, Precision: 0.8783, Recall: 0.8558, F1 Score: 0.8521
Epoch [99/150], Train Loss: 0.1445, Val Loss: 0.9648, Val Accuracy: 0.8578, Mean IOU: 0.7903, Precision: 0.8778, Recall: 0.8578, F1 Score: 0.8530
Epoch [100/150], Train Loss: 0.1415, Val Loss: 0.9575, Val Accuracy: 0.8577, Mean IOU: 0.7901, Precision: 0.8775, Recall: 0.8577, F1 Score: 0.8532
Epoch [101/150], Train Loss: 0.1420, Val Loss: 0.9827, Val Accuracy: 0.8579, Mean IOU: 0.7904, Precision: 0.8779, Recall: 0.8579, F1 Score: 0.8532
Epoch [102/150], Train Loss: 0.1405, Val Loss: 0.9957, Val Accuracy: 0.8574, Mean IOU: 0.7904, Precision: 0.8779, Recall: 0.8574, F1 Score: 0.8532
Epoch [103/150], Train Loss: 0.1405, Val Loss: 1.0459, Val Accuracy: 0.8537, Mean IOU: 0.7851, Precision: 0.8763, Recall: 0.8537, F1 Score: 0.8497
Epoch [104/150], Train Loss: 0.1412, Val Loss: 1.0162, Val Accuracy: 0.8578, Mean IOU: 0.7903, Precision: 0.8779, Recall: 0.8578, F1 Score: 0.8532
Epoch [105/150], Train Loss: 0.1425, Val Loss: 0.9593, Val Accuracy: 0.8544, Mean IOU: 0.7865, Precision: 0.8760, Recall: 0.8544, F1 Score: 0.8499
Epoch [106/150], Train Loss: 0.1403, Val Loss: 1.0047, Val Accuracy: 0.8574, Mean IOU: 0.7898, Precision: 0.8773, Recall: 0.8574, F1 Score: 0.8526
Epoch [107/150], Train Loss: 0.1382, Val Loss: 1.0467, Val Accuracy: 0.8541, Mean IOU: 0.7869, Precision: 0.8776, Recall: 0.8541, F1 Score: 0.8505
Epoch [108/150], Train Loss: 0.1392, Val Loss: 1.0284, Val Accuracy: 0.8576, Mean IOU: 0.7905, Precision: 0.8780, Recall: 0.8576, F1 Score: 0.8533
Epoch [109/150], Train Loss: 0.1408, Val Loss: 0.9653, Val Accuracy: 0.8576, Mean IOU: 0.7899, Precision: 0.8771, Recall: 0.8576, F1 Score: 0.8529
Epoch [110/150], Train Loss: 0.1391, Val Loss: 1.0286, Val Accuracy: 0.8567, Mean IOU: 0.7891, Precision: 0.8774, Recall: 0.8567, F1 Score: 0.8526
Epoch [111/150], Train Loss: 0.1381, Val Loss: 1.0154, Val Accuracy: 0.8574, Mean IOU: 0.7901, Precision: 0.8779, Recall: 0.8574, F1 Score: 0.8532
Epoch [112/150], Train Loss: 0.1379, Val Loss: 1.0377, Val Accuracy: 0.8564, Mean IOU: 0.7895, Precision: 0.8781, Recall: 0.8564, F1 Score: 0.8529
Epoch [113/150], Train Loss: 0.1378, Val Loss: 1.0460, Val Accuracy: 0.8541, Mean IOU: 0.7872, Precision: 0.8775, Recall: 0.8541, F1 Score: 0.8513
Epoch [114/150], Train Loss: 0.1393, Val Loss: 1.0266, Val Accuracy: 0.8577, Mean IOU: 0.7904, Precision: 0.8774, Recall: 0.8577, F1 Score: 0.8533
Epoch [115/150], Train Loss: 0.1378, Val Loss: 1.0356, Val Accuracy: 0.8561, Mean IOU: 0.7891, Precision: 0.8778, Recall: 0.8561, F1 Score: 0.8525
Epoch [116/150], Train Loss: 0.1366, Val Loss: 1.0733, Val Accuracy: 0.8520, Mean IOU: 0.7849, Precision: 0.8772, Recall: 0.8520, F1 Score: 0.8492
Epoch [117/150], Train Loss: 0.1379, Val Loss: 1.0345, Val Accuracy: 0.8558, Mean IOU: 0.7884, Precision: 0.8769, Recall: 0.8558, F1 Score: 0.8518
Epoch [118/150], Train Loss: 0.1367, Val Loss: 1.0637, Val Accuracy: 0.8545, Mean IOU: 0.7874, Precision: 0.8770, Recall: 0.8545, F1 Score: 0.8511
Epoch [119/150], Train Loss: 0.1433, Val Loss: 1.0203, Val Accuracy: 0.8569, Mean IOU: 0.7899, Precision: 0.8774, Recall: 0.8569, F1 Score: 0.8529
Epoch [120/150], Train Loss: 0.1346, Val Loss: 1.0576, Val Accuracy: 0.8576, Mean IOU: 0.7903, Precision: 0.8775, Recall: 0.8576, F1 Score: 0.8533
